lang,n_revisions_tot,n_revisions_sel,n_sources_revisions,n_pages,nrev_per_page,№,Language,Language (local),Articles,All pages,Edits,Admins,Users,Active users,Files,Depth,n_domain_pos,n_domain_neg,n_domain_all,n_users,rank_n_users,perc_n_users,sel,rank_active_users_sel,perc_active_users_sel,class
pa,6895,3319,6347,571,11.115586690017514,101.0,Punjabi,ਪੰਜਾਬੀ,52127.0,169434.0,730918.0,10.0,48927.0,136.0,1809.0,21.0,76.0,22.0,1983.0,80.0,75.0,0.2336448598130841,True,74.0,0.5034013605442177,low
yi,6783,5170,149,225,0.6622222222222223,141.0,Yiddish,ייִדיש,15427.0,44134.0,592164.0,4.0,51675.0,55.0,1059.0,46.0,0.0,0.0,0.0,27.0,116.5,0.3629283489096573,False,,1.0,low
mn,6650,4837,1550,278,5.575539568345324,123.0,Mongolian,монгол,23101.0,105916.0,769302.0,3.0,89024.0,139.0,1359.0,93.0,22.0,9.0,523.0,53.0,89.0,0.2772585669781931,True,73.0,0.4965986394557823,low
ne,6379,3750,2443,365,6.693150684931507,111.0,Nepali,नेपाली,32894.0,110178.0,1195428.0,7.0,66192.0,124.0,1302.0,59.0,49.0,13.0,854.0,77.0,76.0,0.2367601246105919,True,77.0,0.5238095238095238,low
hsb,6331,5238,592,331,1.7885196374622356,149.0,Upper Sorbian,hornjoserbsce,13927.0,35604.0,382732.0,4.0,25086.0,28.0,129.0,26.0,0.0,0.0,0.0,15.0,146.0,0.45482866043613707,False,,1.0,low
tg,6246,3328,1283,525,2.4438095238095237,70.0,Tajik,тоҷикӣ,111704.0,272909.0,1390091.0,6.0,46189.0,107.0,511.0,10.0,36.0,8.0,381.0,33.0,107.0,0.3333333333333333,True,80.0,0.54421768707483,low
pi,6214,5370,0,162,0.0,247.0,Pali,पालि,2553.0,4661.0,102211.0,1.0,7429.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,321.0,1.0,False,,1.0,low
tk,6093,5177,804,246,3.268292682926829,191.0,Turkmen,Türkmençe,6821.0,16616.0,248912.0,3.0,28496.0,37.0,340.0,30.0,9.0,2.0,60.0,21.0,130.5,0.40654205607476634,True,124.5,0.8469387755102041,low
ba,6080,2808,2994,333,8.99099099099099,92.0,Bashkir,башҡортса,63516.0,182387.0,1268357.0,6.0,40620.0,83.0,1504.0,24.0,28.0,10.0,987.0,60.0,85.0,0.26479750778816197,True,92.0,0.6258503401360545,low
gan,5755,4966,34,227,0.14977973568281938,193.0,Gan,贛語,6704.0,34141.0,398244.0,2.0,44104.0,27.0,40.0,195.0,0.0,0.0,0.0,8.0,206.5,0.6433021806853583,False,,1.0,low
